#Bytes	Conduct (en s)	Pipe (en s)	Socket (en s)
1	0.000211	0.000153	0.000146
2	0.000197	0.000144	0.000155
3	0.000201	0.000165	0.000138
4	0.000178	0.000170	0.000132
5	0.000181	0.000151	0.000173
6	0.000172	0.000136	0.000159
7	0.000175	0.000138	0.000157
8	0.000177	0.000135	0.000151
9	0.000184	0.000143	0.000158
10	0.000196	0.000130	0.000143
20	0.000189	0.000147	0.000145
30	0.000198	0.000149	0.000162
40	0.000181	0.000142	0.000156
50	0.000218	0.000158	0.000145
60	0.000176	0.000141	0.000162
70	0.000176	0.000137	0.000148
80	0.000188	0.000151	0.000154
90	0.000178	0.000148	0.000147
100	0.000191	0.000134	0.000143
200	0.000195	0.000153	0.000153
300	0.000183	0.000149	0.000170
400	0.000187	0.000158	0.000160
500	0.000191	0.000144	0.000166
600	0.000177	0.000149	0.000151
700	0.000181	0.000156	0.000150
800	0.000178	0.000156	0.000145
900	0.000178	0.000134	0.000145
1000	0.000202	0.000147	0.000165
2000	0.000179	0.000127	0.000147
3000	0.000200	0.000158	0.000148
4000	0.000191	0.000139	0.000141
5000	0.000229	0.000160	0.000145
6000	0.000196	0.000157	0.000187
7000	0.000182	0.000166	0.000149
8000	0.000182	0.000155	0.000148
9000	0.000186	0.000172	0.000171
10000	0.000172	0.000153	0.000148
20000	0.000185	0.000158	0.000170
30000	0.000195	0.000161	0.000179
40000	0.000196	0.000140	0.000183
50000	0.000203	0.000159	0.000162
60000	0.000196	0.000171	0.000187
70000	0.000189	0.000162	0.000183
80000	0.000219	0.000158	0.000169
90000	0.000192	0.000182	0.000196
100000	0.000189	0.000178	0.000190
200000	0.000250	0.000225	0.000229
300000	0.000279	0.000276	0.000296
400000	0.000293	0.000367	0.000319
500000	0.000341	0.000374	0.000406
600000	0.000358	0.000414	0.000459
700000	0.000410	0.000516	0.000456
800000	0.000462	0.000543	0.000502
900000	0.000430	0.000593	0.000571
1000000	0.000469	0.000655	0.000618
2000000	0.000701	0.001178	0.001030
3000000	0.000828	0.001730	0.001475
4000000	0.001109	0.002254	0.001897
5000000	0.001125	0.002855	0.002403
6000000	0.001280	0.003320	0.002837
7000000	0.001421	0.004297	0.003212
8000000	0.001653	0.004432	0.003641
9000000	0.001756	0.005061	0.004121
10000000	0.001884	0.005612	0.004523
20000000	0.003412	0.011147	0.008937
30000000	0.005064	0.016646	0.013130
40000000	0.006489	0.021877	0.017519
50000000	0.008024	0.027249	0.021977
60000000	0.009457	0.032977	0.027085
70000000	0.011361	0.037953	0.031444
80000000	0.012619	0.043476	0.035825
90000000	0.013908	0.060911	0.039455
100000000	0.015450	0.051857	0.044170
200000000	0.032141	0.102593	0.086774
300000000	0.046623	0.155953	0.135657
400000000	0.061288	0.204992	0.173180
500000000	0.077644	0.270460	0.217274
600000000	0.093160	0.323393	0.262275
700000000	0.106903	0.370852	0.300031
800000000	0.121084	0.422683	0.342924
900000000	0.134154	0.475190	0.392053
1000000000	0.149838	0.529052	0.434956
2000000000	0.301455	1.052229	0.890112
3000000000	0.453711	1.596194	1.301941
4000000000	0.606589	2.119273	1.721913
5000000000	0.759190	2.633507	2.137027
6000000000	0.906890	3.167405	2.568138
7000000000	1.060033	3.696886	2.998590
8000000000	1.187121	4.244990	3.755730
9000000000	1.320829	4.885487	4.007940
10000000000	1.567240	5.793963	4.426537
20000000000	3.177051	9.889709	9.277158
30000000000	4.680857	15.179141	12.615507
40000000000	6.163958	21.727773	17.016108
50000000000	7.547713	27.353349	21.584692
60000000000	9.396541	30.793791	25.860782
70000000000	10.739457	32.793305	29.833664
80000000000	12.021974	43.052942	34.676199
90000000000	14.533300	48.020322	39.432168
